name,price,discount,rating,rating_review_count,description,image_url
"MOTOROLA g06 power (Pantone tapestry, 64 GB)","₹7,999",20% off,4.3,"7,236 Ratings & 439 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.48 cm (6.88 inch) HD+ Display
50MP Rear Camera | 8MP Front Camera
7000 mAh Battery
Helio G81 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/b/9/-original-imahgctgvmt6kjyn.jpeg?q=70
"MOTOROLA g06 power (Pantone Tendril, 64 GB)","₹7,999",20% off,4.3,"7,236 Ratings & 439 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.48 cm (6.88 inch) HD+ Display
50MP Rear Camera | 8MP Front Camera
7000 mAh Battery
Helio G81 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/k/4/-original-imahgctgwut6fewm.jpeg?q=70
"MOTOROLA g06 power (Pantone Laurel Oak, 64 GB)","₹7,999",20% off,4.3,"7,236 Ratings & 439 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.48 cm (6.88 inch) HD+ Display
50MP Rear Camera | 8MP Front Camera
7000 mAh Battery
Helio G81 Processor
1 Year Warranty on Handset and 6 Months Warranty on Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/c/g/-original-imahgctgvra6qqwq.jpeg?q=70
"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,499",24% off,4.2,"40,905 Ratings & 2,428 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB
17.02 cm (6.7 inch) HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Dimensity 6300 Processor
1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/o/d/-original-imahfvrmfkwybeyc.jpeg?q=70
"POCO C71 (Power Black, 64 GB)","₹7,799",13% off,3.9,"58,448 Ratings & 2,575 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB
17.48 cm (6.88 inch) HD+ Display
32MP Rear Camera | 8MP Front Camera
5200 mAh Battery
Unisoc T7250 Max clock speed: 2 x A75@1.8GHz 6 x A55@1.6GHz Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/z/w/-original-imahawgahmkbjxyj.jpeg?q=70
"Ai+ Pulse (Black, 128 GB)","₹7,499",25% off,4.1,"7,256 Ratings & 418 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.13 cm (6.745 inch) HD+ Display
50MP Rear Camera | 5MP Front Camera
5000 mAh Battery
T615 Processor
1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/h/z/-original-imahea37ayddymdw.jpeg?q=70
"POCO C75 5G (Aqua Bliss, 128 GB)","₹9,499",17% off,4.2,"1,55,188 Ratings & 6,761 Reviews","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
17.48 cm (6.88 inch) HD+ Display
50MP Rear Camera | 5MP Front Camera
5160 mAh Battery
4s Gen 2 5G Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/2/g/-original-imahbr2cz5apcwze.jpeg?q=70
"Ai+ Pulse (Sparkle Red, 64 GB)","₹6,999",12% off,4.3,"45,040 Ratings & 2,679 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
17.13 cm (6.745 inch) HD+ Display
50MP Rear Camera | 5MP Front Camera
5000 mAh Battery
T615 Processor
1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/w/t/-original-imahhc4czn6fswwz.jpeg?q=70
"Samsung Galaxy F07 (Green, 64 GB)","₹7,499",25% off,4.3,"4,164 Ratings & 209 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB
17.02 cm (6.7 inch) HD+ Display
50MP + 2MP | 8MP Front Camera
5000 mAh Battery
Helio G99 Processor
1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/m/4/-original-imahgacf8wvads6f.jpeg?q=70
"POCO C71 (Power Black, 128 GB)","₹8,799",12% off,4.1,"34,168 Ratings & 1,589 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
17.48 cm (6.88 inch) HD+ Display
32MP Rear Camera | 8MP Front Camera
5200 mAh Battery
Unisoc T7250 Max clock speed: 2 x A75@1.8GHz 6 x A55@1.6GHz Processor
1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/z/w/-original-imahawgahmkbjxyj.jpeg?q=70
