,name,url,rating,review_count,price,discount,description
0,"realme P4 Power 5G (TransSilver, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/a/c/-original-imahjzf6gw6zwskp.jpeg?q=70,4.6,"1,878 Ratings & 175 Reviews","₹25,999",21% off,8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | Yes10001 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
1,"MOTOROLA g06 power (Pantone Tendril, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/k/4/-original-imahgctgwut6fewm.jpeg?q=70,4.3,"7,418 Ratings & 445 Reviews","₹7,999",20% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
2,"IQOO Z10X 5G (Ultramarine, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/k/c/-original-imahgzpkuv5hzyny.jpeg?q=70,4.4,"9,531 Ratings & 474 Reviews","₹15,499",11% off,6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6500 mAh Battery1 Year on Handset and 6 Months on Accessories
3,"Ai+ Pulse (Black, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/h/z/-original-imahea37ayddymdw.jpeg?q=70,4.1,"7,317 Ratings & 421 Reviews","₹8,299",17% off,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
4,"IQOO Z10 Lite 5G (Cyber Green, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/n/l/z10-lite-5g-i2409-iqoo-original-imahjc5ebg6mhsvt.jpeg?q=70,4.2,"2,466 Ratings & 98 Reviews","₹12,298",12% off,4 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty
5,"IQOO Z10X 5G (Titanium, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/b/u/-original-imahgzpkwbjdkhm3.jpeg?q=70,4.4,"9,531 Ratings & 474 Reviews","₹15,499",11% off,6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6500 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories
6,"Ai+ Pulse (Sparkle Red, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/w/t/-original-imahhc4czn6fswwz.jpeg?q=70,4.3,"45,086 Ratings & 2,680 Reviews","₹7,499",6% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
7,"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/v/5/-original-imahgkgxgpjx8tq6.jpeg?q=70,4.2,"2,466 Ratings & 98 Reviews","₹12,290",12% off,4 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty
8,"Ai+ Pulse (Black, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/b/p/-original-imahgzhpc8abrthu.jpeg?q=70,4.3,"45,086 Ratings & 2,680 Reviews","₹7,499",6% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
9,"IQOO Z10R 5G (Moonstone, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/n/o/-original-imahgkgxr4fupr5v.jpeg?q=70,4.4,"3,956 Ratings & 228 Reviews","₹20,451",12% off,8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5700 mAh Battery1 Year Warranty
10,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/b/9/-original-imahgctgvmt6kjyn.jpeg?q=70,4.3,"7,418 Ratings & 445 Reviews","₹7,999",20% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
11,"realme P4x 5G (Matte Silver, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/9/n/-original-imahgdr4shzrvcfh.jpeg?q=70,4.4,"2,570 Ratings & 207 Reviews","₹18,999",9% off,8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
12,"IQOO Z10 Lite 5G (Cyber Green, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/n/l/z10-lite-5g-i2409-iqoo-original-imahjc5ebg6mhsvt.jpeg?q=70,4.3,"3,431 Ratings & 137 Reviews","₹13,153",12% off,6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty
13,"Ai+ Pulse (Green, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/3/d/-original-imahea37xrfzhuty.jpeg?q=70,4.1,"7,317 Ratings & 421 Reviews","₹8,299",17% off,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
14,"IQOO Z10R 5G (Aquamarine, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/k/r/z10r-5g-i2410-iqoo-original-imahehzhhxvc9xgw.jpeg?q=70,4.4,"3,956 Ratings & 228 Reviews","₹22,354",10% off,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5700 mAh Battery1 Year Warranty
15,"MOTOROLA g06 power (Pantone Laurel Oak, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/c/g/-original-imahgctgvra6qqwq.jpeg?q=70,4.3,"7,418 Ratings & 445 Reviews","₹7,999",20% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
16,"REDMI A4 (Sparkle Purple, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/c/z/a4-5g-a4-5g-redmi-original-imah6yhdqpgfw36t.jpeg?q=70,4.3,"15,138 Ratings & 626 Reviews","₹10,396",13% off,4 GB RAM | 128 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year
17,"Ai+ Pulse (Blue, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/h/v/-original-imahgzhp9vgvyfkg.jpeg?q=70,4.3,"45,086 Ratings & 2,680 Reviews","₹7,499",6% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
18,HOTLINE V63,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/1/w/v63-v63-hotline-original-imah6wa3ccx3bz7r.jpeg?q=70,3.6,"1,260 Ratings & 69 Reviews",₹453,54% off,32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display1MP Rear Camera1000 mAh Battery3 Months Manufacturer warranty
